"Baby, Won't You Please Come Home",Gloria Lynne
"Baby, Won't You Please Come Home?","Harry ""Sweets"" Edison"
"Baby, Won't You Please Come Home",Jimmy Hamilton
Baby Won't You Please Come Home,Johnny Letman
"Baby, Won't You Please Come Home",Jonah Jones Quartet
Baby Won't You Please Come Home,Red Garland
Baby You Got What It Takes,Kevin Mahogany & Jeanie Bryson
Babylon,Euge Groove
Baby's Got It,Ike Turner And The Kings of Rhythm
Bachianas Brasileiras Nr.5,Lalo Schifrin
Bach's Around,Hazy Osterwald
Back At The Chicken Shack,Dusko Goykovich
Back At The Chicken Shack,Generations (Wesley-Corradi-Match)
Back Beat Boogie,Harry James And His Orchestra
Back Door Blues,Al Aarons & The L. A. Jazz Caravan feat. Barbara Morrison
Back Door Santa,Clarence Carter
Back From N.O.,PG Project - Pierre Guicquéro Jazz Septet
Back Home,Ammann-Schnyder-Kissling
Back Home Again In Indiana,Gary Burton
Back Home Again To France,Sammy Price
Back Home Blues,Charlie Haden Quartet West
Back Nine,Ben Sidran
Back to My Home Town,Sonny Stitt
Back To Square One,Kurt Weil & Vibes Revisited
Back To You,Arno Haas
Back To You,Chamber Soul
Back Water Blues,Dynamic 3B'S
Backwater Blues,Archie Shepp & Horace Parlan
Bad Girl,Othella Dallas
Bad Track Record,Zora Young
Bags' Groove,Cal Collins Quartet
Bag's Groove,Coolbreeze
Bag's Groove,Henri Chaix Trio
Bag's Groove,Jon Faddis & Ray Brown Trio
Bag's Groove,Lou Donaldson & Milt Jackson
Bag's Groove,Nico Brina
Bags' Groove,Ron Carter
Bags' New Groove,Metronome Quintett
Bags' New Groove,Scivally / Sills Jazz Quintet
Bahia,Stan Getz & Charlie Byrd
"Balanço do trompete, voz e tamborim",Rodrigo Botter Maio & Jazz Via Brasil Group
Ballad For Very Tired And Very Sad Lotus Eaters,Ken Peplowski
Ballad For Very Tired And Very Sad Lotus Eaters,Warren Vaché
Ballad in Paris,Bernard Peiffer
Ballad Of The Sad Young Men,Marcin Wasilewski Trio
Ballade,Biréli Lagrène
Ballade pour rose,Rocky Gresset
Ballerina,Gregory Porter & London Studio Orchestra & Los Angeles Studio Musicians
Ballet des ombres heureuses from Orphée & Eurydice,Charl du Plessis Trio
Ballgame,Harmonious Wail
Balmain Rhapsody,Mufuti Four
Bang Bang Boogie,Freddy Cole
Bang Bang Boogie,Nat King Cole Trio
Bantu Penda,Baby Face Willette
Barack Obama,Butch Warren French Quintet
Barbados,Joe Bonner Trio
Barbentänze,Harry Sokal & Wolfert Brederode
Barbizon Blues,Didier Lockwood
Barco di papel,Lura feat. Richard Bona
Barley,Lizz Wright
Barney's Blues,Butch Miles and Howard Alden
Baron Lazar,Elsie Bianchi
Barra de Navidad Blues,Heritage Hall Jazz Band
Barra-Cuber,Ronnie Cuber
Bartender's Blues,John Scofield
Basement Blues,"Philipp ""Phil"" Rellstab feat. Uros Perich"
Basie - Straight Ahead,Jazzarmonics
Basie - Straight Ahead,The Count Basie Orchestra
Basie And Bean,Byron Stripling
Basie's Bag,George Benson
Basin Street Blues,Duke Ellington & Johnny Hodges
Basin Street Blues,Jazzpearls
Basin Street Blues,Lada Kummer
Basin Street Blues,Peggy Lee
Basin Street Blues,Robi Weber Quartet
Basin Street Blues,Swinging Ladies DeLuxe!
Basszentrale,Centerpiece
Basszentrale,WitchCraft
Batter Up',Don Bagley feat. Phil Woods
Battle Hymn Of The Republic,Monty Alexander Trio
Batucada,Marcos Valle & Stacey Kent feat. Jim Tomlinson
"Baubles, Bangles & Beads",Sinatra Tribute Band & Max Neissendorfer
"Baubles, Bangles And Beads",Hamleto Stamato Sexteto
Bay City Blues,Joe Pass
Bazalicka,European Jazz Trio
B-Day,Nicole Jo
Be And Bop Are In A Boat,Alexandre Huber Trio
Be Bossa Bop,Accordion Project
"Be Careful, It's My Heart",Helen Carr
Be Cool,Candy Dulfer
Be Deedle Dee Do,Graham Dechter
Be My Baby Tonight,John Pizzarelli Trio
Be My Love,Houston Person
Beale Street Blues,Lillian Boutté
Bean Stalking (Idaho),Three Tenors Of Swing
Beatrice,Randy Halberstadt
Beautiful Dance,Dani Felber Jazz Quartet
Beautiful Love,Andy Seidt
Beautiful Love,Anny Weiler
Beautiful Love,John Stein
Beautiful Love,Silvie Rider-Young
Beautiful Love,Sophie Milman
Beautiful World,Paul Carrack
Beauty And The Beast,Bebel Gilberto
Beba,Herb Alpert
Because My Baby Don't Mean Maybe Now,Bixology
Because Of You,Black Mountain Blues Band
Because of You,Freddy Cole
Because Of You,Ignasi Terraza Trio
Because You're There,X-elle
Beethoven's Fifth,Frank Vignola
Before Summer Break,CHala Cubana
Before The Night Takes It Away,Adrian Frey Trio
Before You Go,Earl Klugh
Beg Steal Or Borrow,Jon Cleary
Begin The Beguin,J. M. Rhythm Four
Begin the Beguine,Charlie Shavers
Begin The Beguine,Enrico De Carli Trio
Begin The Beguine,Members of Artie Shaw Orchestra
Begin The Beguine,Moreno Trio
Begin The Beguine,Pepe Lienhard Big Band
Begin the blues,Barney Kessel
Beginning To See The Light,Yvonne Moore & Daniel Küffer Quartet
Bei mir bist du schön,Benny Goodman Quintet
Bei mir bist du schön,Bette Midler
Bei mir bist du schön,Kosh
Bei mir bist du schön,Regina Carter feat. Dee Dee Bridgewater
Bei mir bist Du schön,Robin McKelle
Bei mir bist du schön,Swingstrings
Bei mir bist du schön,The Miriam Dee Band
Bei mir bist du schön,Willy Schmid Quartett
Being There,Tord Gustavsen Trio
"Believe, Beleft, Below",E.S.T.
Bellarosa,Benny Green
Bellarosa,Clifford Brown
Bella's Boogie,Jim Cutler Jazz Orchestra
Belleville,Belleville
Belleville rendez-vous,Sugar And The Josephines
Belleville rendez-vous (version française),M
Bemsha Swing,Hank Jones
Beneath The Moonlit Sky,Dave Koz & David Benoit
Benny,Fonxionaires feat. Brandy Butler
Benny's Boogie,Benny Goodman
Benny's Bounced Blues,Jan Jankeje feat. Benny Waters
Benny's Bugle,Martin Breinschmid & The Radio Kings feat. Allan Vaché
Benny's Pennies,John Marshall - Ferdinand Povel Quintet
Ben's Blues,Ben Webster / Teddy Wilson / Isla Eckinger / Peter Giger
Berlin Pancake,Christian Meyers Quintet
Berne's Boogie,Sammy Price
Bernie's Tune,Karrin Allyson
Bernie's Tune,Tierney Sutton
Bésame Mama,Poncho Sanchez
Bésame mucho,Alfredo Rodríguez
Besame mucho,Dave Ruosch
Besame Mucho,Erich Nussbaum
Besame mucho,Fernando Fantini
Besame Mucho,Michael Neff Group
Besame Mucho,Nat King Cole
Besame mucho,Raphael Gualazzi
Besame mucho,Ron Carter
Besame Mucho,Rossano Sportiello
Besame Mucho (Kiss Me Much),Harry Connick Jr.
"Bess, You Is My Woman Now",Randy Sandke
"Bess, You Is My Woman Now",Stewy von Wattenwyl feat. Nicole Herzog
Better Be Better,Grand Mother's Funck
Better Days,Joe Pass
Better Get Hit In Yo' Soul,Maceo Parker
Better Off With The Blues,Vera Kaa
Better Than Christmas,Till Brönner feat. Yvonne Catterfeld
Betty Sneezeguard,Adam Bodine Trio
Between The Devil And The Deep Blue Sea,André Previn
Between The Devil And The Deep Blue Sea,Annie Ross & Gerry Mulligan Quartet
Between The Devil And The Deep Blue Sea,Charlie Byrd Trio & Scott Hamilton
Between The Devil And The Deep Blue Sea,Diana Krall
